date,exchange_rate
2009-01-02,0.00
2009-01-04,0.00
2009-01-06,0.00
2009-01-08,0.00
2009-01-10,0.00
2009-01-12,0.00
2009-01-14,0.00
2009-01-16,0.00
2009-01-18,0.00
2009-01-20,0.00
2009-01-22,0.00
2009-01-24,0.00
2009-01-26,0.00
2009-01-28,0.00
2009-01-30,0.00
2009-02-01,0.00
2009-02-03,0.00
2009-02-05,0.00
2009-02-07,0.00
2009-02-09,0.00
2009-02-11,0.00
2009-02-13,0.00
2009-02-15,0.00
2009-02-17,0.00
2009-02-19,0.00
2009-02-21,0.00
2009-02-23,0.00
2009-02-25,0.00
2009-02-27,0.00
2009-03-01,0.00
2009-03-03,0.00
2009-03-05,0.00
2009-03-07,0.00
2009-03-09,0.00
2009-03-11,0.00
2009-03-13,0.00
2009-03-15,0.00
2009-03-17,0.00
2009-03-19,0.00
2009-03-21,0.00
2009-03-23,0.00
2009-03-25,0.00
2009-03-27,0.00
2009-03-29,0.00
2009-03-31,0.00
2009-04-02,0.00
2009-04-04,0.00
2009-04-06,0.00
2009-04-08,0.00
2009-04-10,0.00
2009-04-12,0.00
2009-04-14,0.00
2009-04-16,0.00
2009-04-18,0.00
2009-04-20,0.00
2009-04-22,0.00
2009-04-24,0.00
2009-04-26,0.00
2009-04-28,0.00
2009-04-30,0.00
2009-05-02,0.00
2009-05-04,0.00
2009-05-06,0.00
2009-05-08,0.00
2009-05-10,0.00
2009-05-12,0.00
2009-05-14,0.00
2009-05-16,0.00
2009-05-18,0.00
2009-05-20,0.00
2009-05-22,0.00
2009-05-24,0.00
2009-05-26,0.00
2009-05-28,0.00
2009-05-30,0.00
2009-06-01,0.00
2009-06-03,0.00
2009-06-05,0.00
2009-06-07,0.00
2009-06-09,0.00
2009-06-11,0.00
2009-06-13,0.00
2009-06-15,0.00
2009-06-17,0.00
2009-06-19,0.00
2009-06-21,0.00
2009-06-23,0.00
2009-06-25,0.00
2009-06-27,0.00
2009-06-29,0.00
2009-07-01,0.00
2009-07-03,0.00
2009-07-05,0.00
2009-07-07,0.00
2009-07-09,0.00
2009-07-11,0.00
2009-07-13,0.00
2009-07-15,0.00
2009-07-17,0.00
2009-07-19,0.00
2009-07-21,0.00
2009-07-23,0.00
2009-07-25,0.00
2009-07-27,0.00
2009-07-29,0.00
2009-07-31,0.00
2009-08-02,0.00
2009-08-04,0.00
2009-08-06,0.00
2009-08-08,0.00
2009-08-10,0.00
2009-08-12,0.00
2009-08-14,0.00
2009-08-16,0.00
2009-08-18,0.00
2009-08-20,0.00
2009-08-22,0.00
2009-08-24,0.00
2009-08-26,0.00
2009-08-28,0.00
2009-08-30,0.00
2009-09-01,0.00
2009-09-03,0.00
2009-09-05,0.00
2009-09-07,0.00
2009-09-09,0.00
2009-09-11,0.00
2009-09-13,0.00
2009-09-15,0.00
2009-09-17,0.00
2009-09-19,0.00
2009-09-21,0.00
2009-09-23,0.00
2009-09-25,0.00
2009-09-27,0.00
2009-09-29,0.00
2009-10-01,0.00
2009-10-03,0.00
2009-10-05,0.00
2009-10-07,0.00
2009-10-09,0.00
2009-10-11,0.00
2009-10-13,0.00
2009-10-15,0.00
2009-10-17,0.00
2009-10-19,0.00
2009-10-21,0.00
2009-10-23,0.00
2009-10-25,0.00
2009-10-27,0.00
2009-10-29,0.00
2009-10-31,0.00
